	
🔨点播测试,#genre#

多屏监控,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8?
多屏监控,http://111.20.40.160/PLTV/88888893/224/3221226337/index.m3u8
多屏监控,http://111.20.40.160/PLTV/88888893/224/3221226338/index.m3u8


浩史成双,https://vd2.bdstatic.com/mda-patcnnhqrzjuwuuz/sc/cae_h264/1674896551231456632/mda-patcnnhqrzjuwuuz.mp4?v_from_s=bdapp-landingpage-api-nanjing


三傻大闹宝莱坞推荐,https://vt1.doubanio.com/202211032011/ad46a3c39a37cdcbed98f4d180fa3b93/view/movie/M/301020952-1.mp4
	
三傻大闹宝莱坞MV,https://vt1.doubanio.com/202211032016/9703e5dbde297f48a077aa60855b71d7/view/movie/M/301030812.mp4
	
神秘巨星预告,https://vt1.doubanio.com/202211032018/fb09b6192ebd171cbfd058e7b5b76949/view/movie/M/302260412.mp4
	
神秘巨星插曲1,https://vt1.doubanio.com/202211032019/a3e01faa53524bd8d0ac9f8f2fc512f0/view/movie/M/302220605.mp4
	
神秘巨星插曲2,https://vt1.doubanio.com/202211032020/9f290cadfa010c78afb759288c729cde/view/movie/M/302220603.mp4
	
神秘巨星插曲3,https://vt1.doubanio.com/202211032021/c75da69b77b9422a64a48e2441e393d0/view/movie/M/302220599.mp4
	
神秘巨星片尾彩蛋,https://vt1.doubanio.com/202211032022/4d31d42d3debf8d800d2096193d6fde8/view/movie/M/302220600.mp4
	
	
💿短视频集,#genre#

中国未来城市模式思考,https://dghls.mcloud.139.com/hls/L517fadafa3268215541c97e59b3c73d55/playlist.m3u8?ci=1811UaL6m35715420230603082316k32&fileSize=28642746
大国经济之极限思维,https://wxhls.mcloud.139.com/hls/M264e8894edf0b9e99812c06d23826c780/playlist.m3u8?ci=1811UaL6m35715820230601211839x70&fileSize=17512128
微软重磅推出Windows Copilot,https://dghls.mcloud.139.com/hls/LR270ed78fce491b94bcf98fd12e9a5d21/playlist.m3u8?ci=1811UaL6m357155202306011003532a1&fileSize=5122686
AI将取代所有白领工作?,https://dghls.mcloud.139.com/hls/L888bf6168c91b915c9b9c2f96f7da9c9b/playlist.m3u8?ci=1811UaL6m35715520230523070855be6&fileSize=7121412
openAI的苹果app来了,https://dghls.mcloud.139.com/hls/L4d1898fc0ac6620b26dee931d4e5d473e/playlist.m3u8?ci=1811UaL6m35715820230520043055t7j&fileSize=31999853
谷歌6个新AI黑科技,https://dghls.mcloud.139.com/hls/L7e06ec0a304fc9577f12b7d7c4bd865fc/playlist.m3u8?ci=1811UaL6m35717820230517192047jel&fileSize=8912034
GPT4联网插件,https://dghls.mcloud.139.com/hls/LDfd1591ba9624db948ae16d200e7ded09/playlist.m3u8?ci=1811UaL6m35717820230517180442p57&fileSize=17078603
GPT4开放联网插件了,https://dghls.mcloud.139.com/hls/L4c7ddd507bd66e5de68b548bbf8735ee0/playlist.m3u8?ci=1811UaL6m35715720230517064754dhp&fileSize=15439826
GOOGLO AI 新版20230512,https://dghls.mcloud.139.com/hls/L5ed62f6857513e2f2a6919569682ffaf3/playlist.m3u8?ci=1811UaL6m35717820230512061614qcr&fileSize=6328650
GOOGLO新nerf地图,https://dghls.mcloud.139.com/hls/L549b6cac86e83d3578b08fe4128b8f473/playlist.m3u8?ci=1811UaL6m35715520230512061734wbp&fileSize=24192294
查理芒格的原则05-小A财经,https://dghls.mcloud.139.com/hls/L4e68b5f03a81bbad71f11868870bbf4e1/playlist.m3u8?ci=1811UaL6m35715820230506083852o0y&fileSize=71314749
anything 视频跟踪技术,https://dghls.mcloud.139.com/hls/LL681ec15760e31a9ebf32c6258c722086/playlist.m3u8?ci=1811UaL6m3571582023042609350819c&fileSize=13741425
ChatGPT系统讲解,https://dghls.mcloud.139.com/hls/LN4ef38772cbc1bf320dd42765fe6b72a9/playlist.m3u8?ci=1811UaL6m35715520230413222333kew&fileSize=67580514
AgentGPT,https://dghls.mcloud.139.com/hls/LMabe0d043ced951ac1ba83f8f2ffda71a/playlist.m3u8?ci=1811UaL6m35715820230413221515r5p&fileSize=4137657
AutoGPT来了,https://dghls.mcloud.139.com/hls/LM846b56818280d80ebfb6944c164cc8a1/playlist.m3u8?ci=1811UaL6m35717820230413220154rht&fileSize=9464136
小A说周期,https://dghls.mcloud.139.com/hls/LQe7582ad671c66665235d7bb7b42d02e3/playlist.m3u8?ci=1811UaL6m35715420230408113622mzs&fileSize=140130913
GPT AI 上头了,https://dghls.mcloud.139.com/hls/LQa5938373cd2d3f2258ccebd144243ac2/playlist.m3u8?ci=1811UaL6m35715520230326100538far&fileSize=102968485
GPT进化插件,https://dghls.mcloud.139.com/hls/LAc9ad446cbf85e5f9c206822b7b060f4b/playlist.m3u8?ci=1811UaL6m35717720230325201335xs2&fileSize=29982759
GPT4联网了,https://dghls.mcloud.139.com/hls/L7eec8eb6ffc4702f633a1cabc1dd321a6/playlist.m3u8?ci=1811UaL6m35717820230324143957a21&fileSize=13276759
苹果面部识别,https://dghls.mcloud.139.com/hls/L893f9856caad55d96bb62b18d2ec4d6da/playlist.m3u8?ci=1811UaL6m35717720230324144305qqz&fileSize=38926030

创意设计,https://dghls.mcloud.139.com/hls/LP569e9a2f57213e5e89388d7c1eed095c/playlist.m3u8?ci=1811UaL6m3571582023043010351111c&fileSize=16732987
读心术,https://dghls.mcloud.139.com/hls/LI0a3a6ed67d3a3356a37d3915c565f454/playlist.m3u8?ci=1811UaL6m35715720230508123331ry0&fileSize=15295021
赚钱和挣钱,https://dghls.mcloud.139.com/hls/LB2975b8863bc16d78f99661160eeffece/playlist.m3u8?ci=1811UaL6m357154202303252018221ta&fileSize=147884987
说说城投债,https://dghls.mcloud.139.com/hls/L7bac1c8cf29dd103ae07559b718cc7744/playlist.m3u8?ci=1811UaL6m35717820230326144249htp&fileSize=99888100
萌娃,https://dghls.mcloud.139.com/hls/LP5253e334967dc5c7670fb563c51a122b/playlist.m3u8?ci=1811UaL6m357177202303211126559re&fileSize=22106831
萌娃籼籼,https://dghls.mcloud.139.com/hls/LPc6e4af053edc65ed6977cef64cb6c611/playlist.m3u8?ci=1811UaL6m35715820230321112551n7j&fileSize=40788701
东北萌娃,https://dghls.mcloud.139.com/hls/LQd5fb196994000a0fae17424c78f0aec9/playlist.m3u8?ci=1811UaL6m35715720230321111235s7c&fileSize=29332669
你跟猪有区别吗,https://dghls.mcloud.139.com/hls/LLe88eb1aa3602c9ae04e39037d7d85c91/playlist.m3u8?ci=1811UaL6m35715720230409092349tx4&fileSize=6558844
